Topic,Category,Level,Course name,Instructor,Course Code,Prerequisite,Priority in Website ,CSU Class,Best for (goal),URL Link
R,In-Person Courses / Structured Learning Paths,Intermediate,Colorado State University: Watershed Measurements,Kira Puttenney,WR 417,"WR 204 , WR 416",1,Y,,
R,Online Courses / Structured Learning Paths,Intermediate,Colorado State University: Statistics for Environmental Monitoring,Ellison Carter,CIVE 547,STAT 301,2,Y,Applying Statistics concepts to the environment,https://online.colostate.edu/courses/CIVE/CIVE547.dot
AI,Online Courses / Structured Learning Paths,Advanced,Colorado State University: Applied Data Mining and Analytics in Business,Gaurav Jetley,CIS 575,STAT 204,2,Y,Applying AI Data Mining Business,https://online.colostate.edu/courses/CIS/CIS575.dot
Excel,Online Courses / Structured Learning Paths,Beginner,Colorado State University: Statistics With Business Applications,Kai Jeffreys ,STAT 204,STAT 201,1,Y,Utilizing  Excel for Business data applications,https://online.colostate.edu/courses/STAT/STAT204.dot
R,Online Courses / Structured Learning Paths,Intermediate,Colorado State University: Environmental Data Science Applications: Introduction,Caitlin Mothes,ESS 523A,STAT 158 / STAT 301,1,Y,Using R Studio for environmental science applications,https://online.colostate.edu/courses/ESS/ESS523A.dot
R,Online Courses / Structured Learning Paths,Intermediate,Colorado State University Design and Data Analysis for Researchers II,Eric Gilleland,STAR 512,STAR 511 OR STAT 511A,1,Y,exploring statistical methods for research,"STAR 512, https://online.colostate.edu/courses/STAR/STAR513.dot"
R,In-Person Courses / Structured Learning Paths,Advanced,Colorado State University: Wildlife Ecology Modeling,Brian Gerber ,FW 67-,"STAR 511 , Graduate",1,Y,Using R to Model and communicate Wildlfie ecology information,
AI,Online Courses / Structured Learning Paths,Advanced,Colorado State University: Machine Learning,Jesse Burkhardt,STAA 578,"STAA 577 , Graduate",1,Y,Using Machine Learning for data science and mining applications,https://online.colostate.edu/courses/STAA/STAA578.dot
AI,Online Courses / Structured Learning Paths,Advanced,Colorado State University: Machine Learning,Yunpeng Zhao ,STAA 578,STAA 577,1,Y,,
R,Online Courses / Structured Learning Paths,Advanced,Colorado State University: Statistical Learning and Data Mining,Stacy Edmondson,STAA 577,"STAA 551 , STAA 561",1,Y,"Learning how to use R studio for statistical applications in medicine, government, science, and business ",https://online.colostate.edu/courses/STAA/STAA577.dot
R,Online Courses / Structured Learning Paths,Beginner,Colorado State University: applications of Quantitative Resesarch,Pat Hastings,SOC 314,"SOC 210 , SOC 311",,Y,,
SQL,Online Courses / Structured Learning Paths,Beginner,Colorado State University:  Applications of Quantitative Research,Pat Hastings,SOC 314,"SOC 210 / STAT 200 - 499 , SOC 311",1,Y,"Learning how to collect, analyze, and merge datasets",https://online.colostate.edu/courses/SOC/SOC314.dot
AI,In-Person Courses / Structured Learning Paths,Intermediate,Colorado State University: Public Health Data Management Using SAS,Molly Gutilla,PBHL 534,None,2,Y,Learning to use SAS AI software to analyze datasets ,
