Topic,Category,Level,Resource,Author / Provider,Course Code ,Prerequisite,Priority in Website ,CSU Class,Best for (goal),Link,URL Link,Use in Website Y/M,Notes 
HPC,Books / eBooks,Advanced,ACM Digital Library: Hiearchal Progressive Coding Framework for Volumetric Video,ACM Digital Library,N/A,N/A,2,N,Accessing HPC Code for 3d effects,HPC: Hierarchical Progressive Coding Framework for Volumetric Video | Proceedings of the 32nd ACM International Conference on Multimedia,https://dl.acm.org/doi/10.1145/3664647.3681107,Y,May be a dense research paper however it contains valuable information for HPC applications. 
Unix,Online Courses / Structured Learning Paths,Beginner,Allison: Unix/Linux and Shell Scirpting - Crash Course,Allison ,N/A,N/A,1,N,Familiarizing yourself with basic Unix Commands,"Free Online Unix, Linux and Shell Scripting Crash Course | Alison",https://alison.com/course/unix-linux-and-shell-scripting-crash-course?msockid=2a68803dd7c7641b346696e4d6066551,Y,Good course for becoming fluent in Unix commands 
N/A,Applied / Domain-Specific Resources,Advanced,Amirhossein Nazerian: ResearchGate ,Amirhossein Nazerian,N/A,N/A,,N,learning about applications to modeling and simulations,"Amirhossein NAZERIAN | PostDoc Position | Doctor of Philosophy | Colorado State University, Fort Collins | CSU | Mechanical Engineering | Research profile",https://www.researchgate.net/profile/Amirhossein-Nazerian,M,
SQL,Online Courses / Structured Learning Paths,Intermediate,Analyze Data with SQL,Code Academy,N/A,N/A,1,N,Analyzing large datsets with SQL as well as preparation for technical interviews ,Analyze Data with SQL | Codecademy,https://www.codecademy.com/learn/paths/analyze-data-with-sql,Y,Good for more code learning resources and career development
Matlab,Applied / Domain-Specific Resources,Advanced,Applications of MATLAB In Engineering,Ijraset,N/A,N/A,1,N,Applying Matlab skills to engineering practices,Applications of MATLAB in Engineering,https://www.ijraset.com/research-paper/applications-of-matlab-in-engineering,Y,Good source for learning applicable matlab coding skills 
JavaScript,Applied / Domain-Specific Resources,Advanced,Ariana Mims: Github,Ariana Mims:,N/A,N/A,1,N,Coding to Create a Game via blockchain,BlockchainTermProject/contracts/Betting.sol at main · Aricmims/BlockchainTermProject,https://github.com/Aricmims/BlockchainTermProject/blob/main/contracts/Betting.sol,M,Specific application that may not be best for informing java coding 
AI,Applied / Domain-Specific Resources,Intermediate,Asabenhur: Github ,Sarath Sreedharan,N/A,N/A,1,N,Supporting information for introductory Machine Learning,sarathsreedharan/CS345: Jupyter,https://github.com/sarathsreedharan/CS345,Y,"Strong Documentation, have some courses for machine learning from CSU though. "
Python,Video Courses / Structured Learning Paths,Beginner,Automate the Boring Stuff (Videos),Al Sweigart,N/A,N/A,1,N,learning how to use Automation; productivity; and scripting,https://www.youtube.com/playlist?list=PL0-84-yl1fUnRuXGFe_F7qSH1LEnn9LkW,https://www.youtube.com/playlist?list=PL0-84-yl1fUnRuXGFe_F7qSH1LEnn9LkW,Y,Imoprtant learning concepts for future coding work 
Python,Books / eBooks,Beginner,Automate the Boring Stuff with Python,Al Sweigart,N/A,N/A,1,N,Learning more about Automation and eal-world scripting,https://automatetheboringstuff.com/,https://automatetheboringstuff.com/,Y,Good for learning how to atuomate processes 
Bash,Books / eBooks,Intermediate,Awesome-Bash: Gitub,Awesome-Bash,N/A,N/A,1,N,Accessing Bash Scripts and useful resources ,awesome-lists/awesome-bash: A curated list of delightful Bash scripts and resources.,https://github.com/awesome-lists/awesome-bash,Y,Good resource for making Bash coding easier 
Bash,Online Courses / Structured Learning Paths,Beginner,Bash/Shell Courses,CodeAcademy,N/A,N/A,1,N,Learning the basics of bash coding,Bash/Shell Courses & Tutorials | Codecademy,,,
R,Applied / Domain-Specific Resources,Advanced,Brian Gerber: Github,Brian Gerber,N/A,N/A,1,N,modeling for biological habitat applications using R,bgerber123 (Brian Gerber),https://github.com/bgerber123/,M,"Interesting application for R, may be to specific of an application "
R,Applied / Domain-Specific Resources,Intermediate,Brian Gerber: Github,Brian Gerber,N/A,N/A,1,N,Learning to use for loops for simulating purposes,R-Code-Things/for.loops.r at main · bgerber123/R-Code-Things,https://github.com/bgerber123/R-Code-Things/blob/main/for.loops.r,Y,Teaches a valuable R Related coding skill with advanded applications 
R,Applied / Domain-Specific Resources,Intermediate,Brooke Anderson: Github,Brooke Anderson,N/A,N/A,1,N,Using R for climate and weather based research ,geanders (Brooke Anderson),https://github.com/geanders,M,May be to specific of an application of R but it provides beneficial applications 
HTML,Online Courses / Structured Learning Paths,Advanced,Build a Website with HTML ,Code Academy ,N/A,N/A,2,N,Learning how to build a website using HTMl and other coding languages,"Build a Website with HTML, CSS, and GitHub Pages | Codecademy",https://www.codecademy.com/learn/paths/learn-how-to-build-websites,Y,Well put together introductory course for HTML 
