Topic,Category,Level,Course name,Instructor,Course Code,Prerequisite,Prerequisite_2,Prerequisite 2,Prerequisite 2,Prerequsite 3 ,Prerequisite 4,Prerequisite 5,Prerequisite 6,Prerequisite 7,Prerequisite 8,Prerequisite 9,Prerequisite 10,Prerequisite 11,Priority in Website ,CSU Class,Best for (goal),URL Link,Online Link
AI,In-Person Courses / Structured Learning Paths,Advanced, Advanced Econometric Methods: Machine Learning for Econometric Analysis,Jesse Burkhardt ,AREC 736E,"AREC 735 / ECON 735, Graduate",AREC 635 / ECON 635 | AREC 635 / ECON 635,AREC 635 / ECON 635,AREC 635 / ECON 635,,,,,,,,,,1,Y,Learning to use AI to predict causal treatments and create datasets ,https://catalog.colostate.edu/search/?search=AREC+736E,
AI,In-Person Courses / Structured Learning Paths,Advanced, Machine Learning for Econometric Analysis (Paywalled),Jesse Burkhardt ,ECON 736E,"AREC 735 / ECON 735, Graduate",AREC 635 / ECON 636 | AREC 635 / ECON 636,AREC 635 / ECON 636,AREC 635 / ECON 636,,,,,,,,,,1,Y,Exploring Machine Learning Applications,https://catalog.colostate.edu/search/?search=ECON+736E,
AI,In-Person Courses / Structured Learning Paths,Beginner, Advances in Financial Technology,Tianyang Wang ,FIN 531,BUS 641 / FIN 655,BUS 641 / FIN 601 | FIN 600,BUS 641 / FIN 601,FIN 600,,,,,,,,,,1,Y,Developing skills in using machine learning for finance applications,https://catalog.colostate.edu/search/?search=FIN+531,
HPC,In-Person Courses / Structured Learning Paths,Intermediate, Bioinformatics and Genomics (Paywalled),Tai Montgomery,BZ 360,BZ 110 / BZ 120 / LIFE 102,None | None | None,None,None,None,,,,,,,,,,Y,Learning about programming Concepts with real world applications,https://catalog.colostate.edu/search/?search=BZ+360,
R,In-Person Courses / Structured Learning Paths,Advanced, Advanced Topics in Chemical Analysis: Statistical Analysis in Analytical Chemistry,Megan Willis ,CHEM 530D,CHEM 431,"CHEM 371, CHEM 372 / CBE 310 / CHEM 473","CHEM 371, CHEM 372 / CBE 310 / CHEM 473",,,,,,,,,,,1,Y,,https://catalog.colostate.edu/search/?search=CHEM+530D,
Excel,In-Person Courses / Structured Learning Paths,Intermediate, Numerical Modeling and Optimization,Peter Nelson,CIVE 202,"CIVE 103 , MATH 159 / 160","None | MATH 124, MATH 126, MATH 127 | MATH 124, MATH 126, MATH 127",None,"MATH 124, MATH 126, MATH 127","MATH 124, MATH 126, MATH 127",,,,,,,,,,Y,Applying Programming Concepts to engineering applications,https://catalog.colostate.edu/search/?search=CIVE+202,
Python,In-Person Courses / Structured Learning Paths,Beginner, Introduction to Computing in Physics,Norm Buchanan,PH 210,"CS 150B / CS 152 , PH 141",None | CS 162 / CS 163 / CS 164 / CIS 340  | MATH 126 / MATH 155 / MATH 127 / MATH 159 / MATH 160 ,None,CS 162 / CS 163 / CS 164 / CIS 340 ,MATH 126 / MATH 155 / MATH 127 / MATH 159 / MATH 160 ,,,,,,,,,1,Y,Learning how to use python for physics computing,https://catalog.colostate.edu/search/?search=PH+210,
C/C++,In-Person Courses / Structured Learning Paths,Beginner, Introduction to C Programming II,Logan Seabolt,CS 157,"CS 156 , MATH 118 / MATH 127","MATH 120 / MATH 124 , MATH 125 | MATH 117  | None","MATH 120 / MATH 124 , MATH 125",MATH 117 ,None,,,,,,,,,1,Y,Practicing C Code ,https://catalog.colostate.edu/search/?search=CS+157,
Python,In-Person Courses / Structured Learning Paths,New to Programming, Python for Stem ,Logan Seabolt,CS 152,CS 163 / MATH 124 / MATH 125 / MATH 126 / MATH 127,CIS 240 / CS 150A / CS 150B / CS 152 / MATH 120 / MATH 124 / MATH 127  | MATH 118 | MATH 118 / MATH 120  | MATH 125 | None,CIS 240 / CS 150A / CS 150B / CS 152 / MATH 120 / MATH 124 / MATH 127 ,MATH 118,MATH 118 / MATH 120 ,MATH 125,None,,,,,,,1,Y,Familarizing onself with more complex Python resources ,https://catalog.colostate.edu/search/?search=CS+152,
HPC,In-Person Courses / Structured Learning Paths,Advanced, RNA-Sequencing Data Analysis,Erin Nishimura ,DSCI 512,"DSCI 510 , Graduate",None,None,,,,,,,,,,,1,Y,Practicing RNA Based coding applications,https://catalog.colostate.edu/search/?search=DSCI+512,
